These data are made available to the scientific community and public with the understanding that authors of publications 
and presentations will contact the PI to obtain up-to-date information on the latest version of the data during the early stages of their analysis. 
Manuscripts that employ these data should be reviewed by the PI before submission to ensure the quality and limitations of the data are represented.  

Data Disclaimer: Data has undergone extensive quality checks and is available from NOAA-GMD and WDCGG. 
However, there still exists the potential for these data to be modified at the discretion of NOAA/ESRL Global Monitoring Division. 

If you have questions regarding the data in this file, please contact:
Irina Petropavlovskikh: Irina.Petro@noaa.gov (303-497-6279)
Audra McClure-Begley: Audra.mcclure@noaa.gov
Peter Effertz: Peter.Effertz@noaa.gov (303-497-6823)

Please use the following citation for data use: 
McClure-Begley, A., Petropavlovskikh, I., Oltmans, S., (2014) NOAA Global Monitoring Surface Ozone Network.
 Station name, Time start-Time end. National Oceanic and Atmospheric Administration, Earth Systems Research Laboratory Global Monitoring Division. 
 Boulder, CO. DATE ACCESSED http://dx.doi.org/10.7289/V57P8WBF

STN YEAR MON DAY HR O3(PPB)
BRW 2021 04 13 14 18.34
BRW 2021 04 13 15 17.31
BRW 2021 04 13 16 16.63
BRW 2021 04 13 17 15.98
BRW 2021 04 13 18 15.8
BRW 2021 04 13 19 15.34
BRW 2021 04 13 20 15.51
BRW 2021 04 13 21 15.52
BRW 2021 04 13 22 15.61
BRW 2021 04 13 23 16.1
BRW 2021 04 14 00 16.36
BRW 2021 04 14 01 16.75
BRW 2021 04 14 02 16.78
BRW 2021 04 14 03 17.91
BRW 2021 04 14 04 17.95
BRW 2021 04 14 05 18.81
BRW 2021 04 14 06 18.96
BRW 2021 04 14 07 19.29
BRW 2021 04 14 08 22.38
BRW 2021 04 14 09 23.45
BRW 2021 04 14 10 22.31
BRW 2021 04 14 11 20.22
BRW 2021 04 14 12 19.14
BRW 2021 04 14 13 18.28
BRW 2021 04 14 14 17.75
BRW 2021 04 14 15 16.4
BRW 2021 04 14 16 16.89
BRW 2021 04 14 17 17.08
BRW 2021 04 14 18 18.59
BRW 2021 04 14 19 19.07
BRW 2021 04 14 20 19.76
BRW 2021 04 14 21 21.81
BRW 2021 04 14 22 21.5
BRW 2021 04 14 23 20.8
BRW 2021 04 15 00 20.62
BRW 2021 04 15 01 20.46
BRW 2021 04 15 02 18.95
BRW 2021 04 15 03 19.23
BRW 2021 04 15 04 21.12
BRW 2021 04 15 05 20.64
BRW 2021 04 15 06 20.07
BRW 2021 04 15 07 19.06
BRW 2021 04 15 08 17.56
BRW 2021 04 15 09 16.72
BRW 2021 04 15 10 16.13
BRW 2021 04 15 11 15.32
BRW 2021 04 15 12 15.39
BRW 2021 04 15 13 14.64
BRW 2021 04 15 14 14.77
BRW 2021 04 15 15 15.03
BRW 2021 04 15 16 14.86
BRW 2021 04 15 17 15.47
BRW 2021 04 15 18 14.92
BRW 2021 04 15 19 15.45
BRW 2021 04 15 20 16.21
BRW 2021 04 15 21 16.69
BRW 2021 04 15 22 15.87
BRW 2021 04 15 23 16.0
BRW 2021 04 16 00 16.16
BRW 2021 04 16 01 16.59
BRW 2021 04 16 02 16.6
BRW 2021 04 16 03 16.17
BRW 2021 04 16 04 15.22
BRW 2021 04 16 05 14.81
BRW 2021 04 16 06 15.29
BRW 2021 04 16 07 15.38
BRW 2021 04 16 08 15.94
BRW 2021 04 16 09 15.37
BRW 2021 04 16 10 14.09
BRW 2021 04 16 11 13.34
BRW 2021 04 16 12 14.64
BRW 2021 04 16 13 16.9
BRW 2021 04 16 14 17.56
BRW 2021 04 16 15 17.15
BRW 2021 04 16 16 17.49
BRW 2021 04 16 17 18.17
BRW 2021 04 16 18 19.16
BRW 2021 04 16 19 20.65
BRW 2021 04 16 20 24.74
BRW 2021 04 16 21 28.37
BRW 2021 04 16 22 32.12
BRW 2021 04 16 23 34.04
BRW 2021 04 17 00 33.0
BRW 2021 04 17 01 33.25
BRW 2021 04 17 02 32.71
BRW 2021 04 17 03 33.2
BRW 2021 04 17 04 32.54
BRW 2021 04 17 05 31.59
BRW 2021 04 17 06 31.84
BRW 2021 04 17 07 31.75
BRW 2021 04 17 08 32.6
BRW 2021 04 17 09 31.83
BRW 2021 04 17 10 34.06
BRW 2021 04 17 11 38.22
BRW 2021 04 17 12 40.68
BRW 2021 04 17 13 39.09
BRW 2021 04 17 14 38.55
BRW 2021 04 17 15 39.5
BRW 2021 04 17 16 38.07
BRW 2021 04 17 17 37.33
BRW 2021 04 17 18 38.88
BRW 2021 04 17 19 41.73
BRW 2021 04 17 20 40.21
BRW 2021 04 17 21 40.51
BRW 2021 04 17 22 40.47
BRW 2021 04 17 23 40.6
BRW 2021 04 18 00 42.11
BRW 2021 04 18 01 43.41
BRW 2021 04 18 02 42.08
BRW 2021 04 18 03 43.44
BRW 2021 04 18 04 41.99
BRW 2021 04 18 05 41.95
BRW 2021 04 18 06 40.59
BRW 2021 04 18 07 39.31
BRW 2021 04 18 08 37.68
BRW 2021 04 18 09 40.05
BRW 2021 04 18 10 38.55
BRW 2021 04 18 11 36.48
BRW 2021 04 18 12 38.66
BRW 2021 04 18 13 38.52
BRW 2021 04 18 14 35.99
BRW 2021 04 18 15 37.0
BRW 2021 04 18 16 36.57
BRW 2021 04 18 17 36.97
BRW 2021 04 18 18 37.51
BRW 2021 04 18 19 37.04
BRW 2021 04 18 20 37.65
BRW 2021 04 18 21 37.98
BRW 2021 04 18 22 37.79
BRW 2021 04 18 23 40.02
BRW 2021 04 19 00 39.68
BRW 2021 04 19 01 39.2
BRW 2021 04 19 02 37.37
BRW 2021 04 19 03 37.88
BRW 2021 04 19 04 36.71
BRW 2021 04 19 05 36.59
BRW 2021 04 19 06 36.47
BRW 2021 04 19 07 37.11
BRW 2021 04 19 08 36.61
BRW 2021 04 19 09 36.87
BRW 2021 04 19 10 35.59
BRW 2021 04 19 11 35.66
BRW 2021 04 19 12 34.28
BRW 2021 04 19 13 34.87
BRW 2021 04 19 14 34.61
BRW 2021 04 19 15 34.76
BRW 2021 04 19 16 34.28
BRW 2021 04 19 17 34.65
BRW 2021 04 19 18 35.32
BRW 2021 04 19 19 38.05
BRW 2021 04 19 20 37.67
BRW 2021 04 19 21 38.01
BRW 2021 04 19 22 37.52
BRW 2021 04 19 23 38.48
BRW 2021 04 20 00 37.71
BRW 2021 04 20 01 33.96
BRW 2021 04 20 02 30.99
BRW 2021 04 20 03 30.19
BRW 2021 04 20 04 19.88
BRW 2021 04 20 05 17.68
BRW 2021 04 20 06 17.24
BRW 2021 04 20 07 17.47
BRW 2021 04 20 08 17.17
BRW 2021 04 20 09 15.76
BRW 2021 04 20 10 16.18
BRW 2021 04 20 11 15.85
BRW 2021 04 20 12 13.98
BRW 2021 04 20 13 12.11
BRW 2021 04 20 14 11.1
BRW 2021 04 20 15 10.62
BRW 2021 04 20 16 9.04
BRW 2021 04 20 17 7.84
BRW 2021 04 20 18 8.36
BRW 2021 04 20 19 9.29
BRW 2021 04 20 20 12.28
BRW 2021 04 20 21 15.5
BRW 2021 04 20 22 20.27
BRW 2021 04 20 23 23.33
BRW 2021 04 21 00 25.74
BRW 2021 04 21 01 28.99
BRW 2021 04 21 02 29.65
BRW 2021 04 21 03 29.93
BRW 2021 04 21 04 29.64
BRW 2021 04 21 05 30.03
BRW 2021 04 21 06 28.89
BRW 2021 04 21 07 29.63
BRW 2021 04 21 08 31.14
BRW 2021 04 21 09 32.77
BRW 2021 04 21 10 34.98
BRW 2021 04 21 11 35.15
BRW 2021 04 21 12 35.59
BRW 2021 04 21 13 35.71
BRW 2021 04 21 14 35.46
BRW 2021 04 21 15 33.63
BRW 2021 04 21 16 35.37
BRW 2021 04 21 17 36.55
BRW 2021 04 21 18 36.19
BRW 2021 04 21 19 36.16
BRW 2021 04 21 20 37.26
BRW 2021 04 21 21 36.66
BRW 2021 04 21 22 36.4
BRW 2021 04 21 23 35.91
BRW 2021 04 22 00 35.29
BRW 2021 04 22 01 36.95
BRW 2021 04 22 02 34.95
BRW 2021 04 22 03 35.47
BRW 2021 04 22 04 34.44
BRW 2021 04 22 05 34.61
BRW 2021 04 22 06 34.23
BRW 2021 04 22 07 35.28
BRW 2021 04 22 08 39.34
BRW 2021 04 22 09 38.25
BRW 2021 04 22 10 39.36
BRW 2021 04 22 11 38.8
BRW 2021 04 22 12 40.27
BRW 2021 04 22 13 39.62
BRW 2021 04 22 14 40.33
BRW 2021 04 22 15 39.2
BRW 2021 04 22 16 40.65
BRW 2021 04 22 17 41.32
BRW 2021 04 22 18 40.63
BRW 2021 04 22 19 39.35
BRW 2021 04 22 20 38.89
BRW 2021 04 22 21 38.65
BRW 2021 04 22 22 39.04
BRW 2021 04 22 23 39.0
BRW 2021 04 23 00 39.27
BRW 2021 04 23 01 38.97
BRW 2021 04 23 02 39.81
BRW 2021 04 23 03 39.11
BRW 2021 04 23 04 39.24
BRW 2021 04 23 05 39.58
BRW 2021 04 23 06 37.29
BRW 2021 04 23 07 38.91
BRW 2021 04 23 08 38.75
BRW 2021 04 23 09 39.77
BRW 2021 04 23 10 39.97
BRW 2021 04 23 11 41.04
BRW 2021 04 23 12 39.06
BRW 2021 04 23 13 39.32
BRW 2021 04 23 14 38.24
BRW 2021 04 23 15 37.89
BRW 2021 04 23 16 38.54
BRW 2021 04 23 17 37.58
BRW 2021 04 23 18 36.99
BRW 2021 04 23 19 36.02
BRW 2021 04 23 20 36.91
BRW 2021 04 23 21 36.54
BRW 2021 04 23 22 37.78
BRW 2021 04 23 23 39.97
BRW 2021 04 24 00 38.32
BRW 2021 04 24 01 37.94
BRW 2021 04 24 02 38.94
BRW 2021 04 24 03 39.64
BRW 2021 04 24 04 38.88
BRW 2021 04 24 05 44.46
BRW 2021 04 24 06 41.91
BRW 2021 04 24 07 40.08
BRW 2021 04 24 08 37.93
BRW 2021 04 24 09 36.76
BRW 2021 04 24 10 37.26
BRW 2021 04 24 11 35.04
BRW 2021 04 24 12 36.42
BRW 2021 04 24 13 36.57
BRW 2021 04 24 14 36.91
BRW 2021 04 24 15 37.17
BRW 2021 04 24 16 35.06
BRW 2021 04 24 17 37.44
BRW 2021 04 24 18 37.89
BRW 2021 04 24 19 38.56
BRW 2021 04 24 20 37.96
BRW 2021 04 24 21 37.14
BRW 2021 04 24 22 35.64
BRW 2021 04 24 23 36.78
BRW 2021 04 25 00 38.52
BRW 2021 04 25 01 37.04
BRW 2021 04 25 02 36.58
BRW 2021 04 25 03 35.25
BRW 2021 04 25 04 34.48
BRW 2021 04 25 05 36.63
BRW 2021 04 25 06 35.28
BRW 2021 04 25 07 35.27
BRW 2021 04 25 08 33.91
BRW 2021 04 25 09 29.96
BRW 2021 04 25 10 28.51
BRW 2021 04 25 11 27.83
BRW 2021 04 25 12 28.5
BRW 2021 04 25 13 26.26
BRW 2021 04 25 14 24.4
BRW 2021 04 25 15 22.0
BRW 2021 04 25 16 19.78
BRW 2021 04 25 17 17.4
BRW 2021 04 25 18 15.89
BRW 2021 04 25 19 14.35
BRW 2021 04 25 20 13.27
BRW 2021 04 25 21 14.3
BRW 2021 04 25 22 17.13
BRW 2021 04 25 23 23.78
BRW 2021 04 26 00 31.22
BRW 2021 04 26 01 31.89
BRW 2021 04 26 02 33.55
BRW 2021 04 26 03 34.57
BRW 2021 04 26 04 34.77
BRW 2021 04 26 05 30.49
BRW 2021 04 26 06 28.01
BRW 2021 04 26 07 26.72
BRW 2021 04 26 08 23.63
BRW 2021 04 26 09 20.69
BRW 2021 04 26 10 19.17
BRW 2021 04 26 11 17.12
BRW 2021 04 26 12 14.43
BRW 2021 04 26 13 12.61
BRW 2021 04 26 14 12.28
BRW 2021 04 26 15 13.43
BRW 2021 04 26 16 13.9
BRW 2021 04 26 17 12.8
BRW 2021 04 26 18 14.82
BRW 2021 04 26 19 19.37
BRW 2021 04 26 20 25.06
BRW 2021 04 26 21 25.24
BRW 2021 04 26 22 26.76
BRW 2021 04 26 23 26.4
BRW 2021 04 27 00 26.16
BRW 2021 04 27 01 25.64
BRW 2021 04 27 02 25.39
BRW 2021 04 27 03 25.58
BRW 2021 04 27 04 24.8
BRW 2021 04 27 05 25.52
BRW 2021 04 27 06 27.44
BRW 2021 04 27 07 26.6
BRW 2021 04 27 08 26.63
BRW 2021 04 27 09 26.91
BRW 2021 04 27 10 27.15
BRW 2021 04 27 11 26.48
BRW 2021 04 27 12 27.13
BRW 2021 04 27 13 27.12
BRW 2021 04 27 14 27.79
BRW 2021 04 27 15 28.15
BRW 2021 04 27 16 27.48
BRW 2021 04 27 17 27.01
BRW 2021 04 27 18 26.38
BRW 2021 04 27 19 26.52
BRW 2021 04 27 20 25.53
BRW 2021 04 27 21 25.97
BRW 2021 04 27 22 24.53
BRW 2021 04 27 23 24.06
BRW 2021 04 28 00 24.2
BRW 2021 04 28 01 24.92
BRW 2021 04 28 02 23.75
BRW 2021 04 28 03 24.62
BRW 2021 04 28 04 24.5
BRW 2021 04 28 05 23.46
BRW 2021 04 28 06 23.48
BRW 2021 04 28 07 24.07
BRW 2021 04 28 08 24.23
BRW 2021 04 28 09 24.96
BRW 2021 04 28 10 24.21
BRW 2021 04 28 11 24.59
BRW 2021 04 28 12 25.06
BRW 2021 04 28 13 26.89
BRW 2021 04 28 14 25.98
BRW 2021 04 28 15 27.58
BRW 2021 04 28 16 27.09
BRW 2021 04 28 17 26.76
BRW 2021 04 28 18 26.99
BRW 2021 04 28 19 27.09
BRW 2021 04 28 20 28.42
BRW 2021 04 28 21 26.31
BRW 2021 04 28 22 25.96
BRW 2021 04 28 23 25.89
BRW 2021 04 29 00 24.1
BRW 2021 04 29 01 21.4
BRW 2021 04 29 02 20.04
BRW 2021 04 29 03 22.12
BRW 2021 04 29 04 24.52
BRW 2021 04 29 05 28.69
BRW 2021 04 29 06 28.98
BRW 2021 04 29 07 26.8
BRW 2021 04 29 08 22.89
BRW 2021 04 29 09 20.08
BRW 2021 04 29 10 19.7
BRW 2021 04 29 11 20.46
BRW 2021 04 29 12 20.5
BRW 2021 04 29 13 20.79
BRW 2021 04 29 14 21.39
BRW 2021 04 29 15 21.62
BRW 2021 04 29 16 22.6
BRW 2021 04 29 17 23.6
BRW 2021 04 29 18 23.84
BRW 2021 04 29 19 25.19
BRW 2021 04 29 20 25.23
BRW 2021 04 29 21 25.9
BRW 2021 04 29 22 25.49
BRW 2021 04 29 23 26.12
BRW 2021 04 30 00 25.99
BRW 2021 04 30 01 25.63
BRW 2021 04 30 02 26.62
BRW 2021 04 30 03 27.61
BRW 2021 04 30 04 27.01
BRW 2021 04 30 05 27.19
BRW 2021 04 30 06 27.26
BRW 2021 04 30 07 26.84
BRW 2021 04 30 08 26.63
BRW 2021 04 30 09 26.16
BRW 2021 04 30 10 26.43
BRW 2021 04 30 11 26.42
BRW 2021 04 30 12 26.18
BRW 2021 04 30 13 26.45
BRW 2021 04 30 14 25.82
BRW 2021 04 30 15 25.88
BRW 2021 04 30 16 26.55
BRW 2021 04 30 17 26.77
BRW 2021 04 30 18 24.92
BRW 2021 04 30 19 25.02
BRW 2021 04 30 20 25.23
BRW 2021 04 30 21 26.35
BRW 2021 04 30 22 26.69
BRW 2021 04 30 23 27.61
